Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Elite: Dangerous,2017.0,Simulation,Frontier Developments,0.07,0.0,0.0,0.01,0.08
Just Dance: Disney Party 2,2015.0,Music,Ubisoft,0.06,0.01,0.0,0.01,0.08
Bulletstorm: Full Clip Edition,2017.0,Shooter,Gearbox Software,0.06,0.01,0.0,0.01,0.08
Micro Machines: World Series,2017.0,Racing,Codemasters,0.02,0.05,0.0,0.01,0.08
Darksiders II,2015.0,Action-Adventure,Nordic Games,0.05,0.03,0.0,0.01,0.08
Sherlock Holmes: Crimes & Punishments,2014.0,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
Toy Soldiers: War Chest,2015.0,Action,Ubisoft,0.07,0.0,0.0,0.01,0.08
BlazBlue: Chrono Phantasma Extend,2015.0,Fighting,PQube,0.06,0.01,0.0,0.01,0.08
Metal Gear Survive,2018.0,Action,Konami Digital Entertainment,0.05,0.01,0.0,0.01,0.08
The Golf Club,2015.0,Sports,Ravenscourt,0.07,0.0,0.0,0.01,0.07
Batman: A Telltale Game Series,2016.0,Adventure,Telltale Games,0.06,0.01,0.0,0.01,0.07
Constructor HD,2017.0,Strategy,System 3,0.07,0.0,0.0,0.01,0.07
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Action,Activision,0.05,0.01,0.0,0.01,0.07
Valentino Rossi: The Game,2016.0,Racing,Namco Bandai Games,0.05,0.02,0.0,0.01,0.07
Disneyland Adventures,2017.0,Action-Adventure,Microsoft Studios,0.05,0.01,0.0,0.01,0.07
Dynasty Warriors 8: Empires,2014.0,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07
Resident Evil 6,2016.0,Shooter,Capcom,0.06,0.0,0.0,0.01,0.07
Ghostbusters (2016),2016.0,Action,Activision,0.06,0.0,0.0,0.01,0.07
R.B.I. Baseball 2017,2017.0,Sports,MLB.com,0.06,0.0,0.0,0.01,0.07
Aven Colony,2017.0,Strategy,Sold Out,0.06,0.0,0.0,0.01,0.06
Adventure Time: Finn & Jake Investigations,2015.0,Action,Little Orbit,0.04,0.02,0.0,0.01,0.06
Atari Flashback Classics: Volume 1,2016.0,Misc,Atari,0.06,0.0,0.0,0.01,0.06
MotoGP 17,2017.0,Racing,Koch Media,0.04,0.02,0.0,0.01,0.06
Wasteland 2,2015.0,Role-Playing,Deep Silver,0.05,0.01,0.0,0.01,0.06
MX vs ATV Supercross Encore 2017 Track Edition,2017.0,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.06
Cartoon Network Battle Crashers,2016.0,Action,Maximum Games,0.05,0.01,0.0,0.01,0.06
Hasbro Family Fun Pack Conquest Edition,2016.0,Misc,Ubisoft,0.05,0.0,0.0,0.01,0.06
Sherlock Holmes: The Devil's Daughter,2016.0,Adventure,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
MX vs. ATV Supercross Encore,2015.0,Sports,Nordic Games,0.05,0.0,0.0,0.01,0.06
Killing Floor 2Ê,2017.0,Shooter,Tripwire Interactive,0.05,0.0,0.0,0.01,0.06
R.B.I. Baseball 2016,2016.0,Sports,MLB.com,0.05,0.0,0.0,0.01,0.06
Okami,2017.0,Action,Capcom,0.05,0.0,0.0,0.01,0.06
Rapala Fishing Pro Series,2017.0,Simulation,GameMill,0.05,0.0,0.0,0.01,0.06
Arslan: The Warriors of Legend,2016.0,Action,Tecmo Koei,0.05,0.0,0.0,0.01,0.06
Golf Club 2,2017.0,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06
Mark McMorris Infinite Air,2016.0,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06
Atari Flashback Classics: Volume 2,2016.0,Misc,Atari,0.05,0.0,0.0,0.01,0.06
Hunting Simulator,2017.0,Shooter,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
Styx: Shards of Darknes,2017.0,Action,Focus Home Interactive,0.05,0.0,0.0,0.01,0.06
Marvel's Guardians of the Galaxy: The Telltale Series,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05
Baja: Edge of Control HD,2017.0,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.05
Agatha Christie's The ABC Murders,2016.0,Adventure,Microids,0.04,0.0,0.0,0.01,0.05
Brothers: A Tale of Two Sons,2015.0,Adventure,505 Games,0.04,0.01,0.0,0.01,0.05
The Walking Dead: A Telltale Series Collection,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05
Rugby 18,2017.0,Sports,Koch Media,0.04,0.0,0.0,0.01,0.05
Has-Been Heroes,2017.0,Action,GameTrust,0.04,0.0,0.0,0.01,0.05
Deformers,2017.0,Action,Ready at Dawn,0.04,0.0,0.0,0.01,0.05
Extinction,2018.0,Action,Maximum Games,0.04,0.0,0.0,0.01,0.05
Resident Evil 4 HD,2016.0,Action-Adventure,Capcom,0.04,0.0,0.0,0.01,0.05
The Technomancer,2016.0,Role-Playing,Focus Home Interactive,0.03,0.02,0.0,0.0,0.05
Cars 3: Driven to Win,2017.0,Racing,Warner Bros. Interactive Entertainment,0.04,0.0,0.0,0.01,0.05
Pillars of Eternity,2017.0,Role-Playing,Paradox InteractiveÊ,0.04,0.0,0.0,0.01,0.05
Just Sing,2016.0,Music,Ubisoft,0.04,0.0,0.0,0.01,0.05
Mighty No. 9,2016.0,Platform,Deep Silver,0.04,0.0,0.0,0.01,0.05
Batman: The Enemy Within,2017.0,Adventure,Telltale Games,0.04,0.0,0.0,0.01,0.05
WRC 7,2017.0,Racing,Bigben Interactive,0.04,0.0,0.0,0.01,0.05
King's Quest: The Complete Collection,2016.0,Adventure,Activision,0.04,0.0,0.0,0.01,0.05
Marvel Pinball: Epic Collection Volume 1,2016.0,Puzzle,Nighthawk Interactive,0.04,0.0,0.0,0.01,0.05
Road Rage,2017.0,Racing,Maximum Games,0.04,0.0,0.0,0.0,0.04
Dragon's Dogma,2017.0,Role-Playing,Capcom,0.04,0.0,0.0,0.0,0.04
Deer Hunter Reloaded,2017.0,Shooter,GameMill Entertainment,0.04,0.0,0.0,0.0,0.04
Overcooked,2016.0,Action,Sold Out,0.04,0.0,0.0,0.0,0.04
Resident Evil 5 HD,2016.0,Action,Capcom,0.04,0.0,0.0,0.0,0.04
Darksiders: Warmastered Edition,2016.0,Action-Adventure,THQ Nordic,0.04,0.0,0.0,0.0,0.04
Valkyria: Azure Revolution,2017.0,Role-Playing,Deep Silver,0.04,0.0,0.0,0.0,0.04
Game of Thrones (Telltale),2015.0,Adventure,Telltale Games,0.04,0.0,0.0,0.0,0.04
Terraria,2014.0,Action,505 Games,0.0,0.04,0.0,0.0,0.04
Elex,2017.0,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04
Battle Chasers: Nightwar,2017.0,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04
Don't Starve,2018.0,Adventure,505 Games,0.04,0.0,0.0,0.0,0.04
Dead Rising 2,2016.0,Action,Capcom,0.03,0.0,0.0,0.0,0.04
Don Bradman Cricket 14,2015.0,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04
Monster Jam: Crush It,2016.0,Racing,GameMill,0.03,0.0,0.0,0.0,0.04
Shadow Warrior (2013),2014.0,Shooter,Devolver Digital,0.0,0.04,0.0,0.0,0.04
Dead Alliance,2017.0,Shooter,Maximum Games,0.03,0.0,0.0,0.0,0.04
Warriors Orochi 3,2014.0,Action,Tecmo Koei,0.01,0.03,0.0,0.0,0.04
Dead Rising,2016.0,Action,Capcom,0.03,0.0,0.0,0.0,0.04
Sine Mora,2017.0,Action,THQ Nordic,0.03,0.0,0.0,0.0,0.04
WRC 6,2016.0,Racing,PQube,0.03,0.0,0.0,0.0,0.03
Black Mirror,2017.0,Adventure,THQ Nordic,0.03,0.0,0.0,0.0,0.03
Pure Farming 2018,2018.0,Simulation,Techland,0.03,0.0,0.0,0.0,0.03
MotoGP 15,2015.0,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03
Raid: World War II,2017.0,Shooter,505 Games,0.03,0.0,0.0,0.0,0.03
Carmageddon: Max Damage,2016.0,Action,Stainless Games,0.02,0.01,0.0,0.0,0.03
INSIDE / LIMBO Double Pack,2017.0,Platform,505 Games,0.03,0.0,0.0,0.0,0.03
Warhammer: The End Times - Vermintide,2016.0,Action,Games Workshop,0.03,0.0,0.0,0.0,0.03
Stardew Valley,2017.0,Simulation,505 Games,0.02,0.0,0.0,0.0,0.03
Ben 10 (2017),2017.0,Action,Outright Games,0.02,0.0,0.0,0.0,0.03
The Pillars of the Earth,2017.0,Adventure,Kalypso Media,0.02,0.0,0.0,0.0,0.03
Rime,2017.0,Adventure,Grey Box,0.02,0.0,0.0,0.0,0.03
Worms: WMD,2016.0,Strategy,Team17 Digital Ltd,0.02,0.0,0.0,0.0,0.02
Syberia III,2017.0,Adventure,Microids,0.02,0.0,0.0,0.0,0.02
Moto Racer 4,2016.0,Racing,PQube,0.02,0.0,0.0,0.0,0.02
Rugby League Live 4,2017.0,Sports,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02
ABZU,2017.0,Adventure,505 Games,0.02,0.0,0.0,0.0,0.02
Pharaonic,2017.0,Action,Soedesco,0.02,0.0,0.0,0.0,0.02
Geometry Wars 3: Dimensions Evolved,2016.0,Action,Activision,0.02,0.0,0.0,0.0,0.02
Resident Evil: Revelations,2017.0,Action,Capcom,0.02,0.0,0.0,0.0,0.02
Broken Sword 5: The Serpent's Curse,2015.0,Adventure,Revolution Software,0.0,0.02,0.0,0.0,0.02
Rugby World Cup 2015,2015.0,Sports,Big Ben Interactive,0.0,0.02,0.0,0.0,0.02
The Crew: Wild Run,2015.0,Racing,Ubisoft,0.0,0.02,0.0,0.0,0.02
Prison Architect,2016.0,Simulation,Introversion Software,0.02,0.0,0.0,0.0,0.02
The Dwarves,2016.0,Role-Playing,THQ Nordic,0.02,0.0,0.0,0.0,0.02
Big Buck Hunter Arcade,2017.0,Shooter,GameMill,0.02,0.0,0.0,0.0,0.02
Redout,2017.0,Racing,505 Games,0.02,0.0,0.0,0.0,0.02
Troll and I,2017.0,Action,Maximum Games,0.02,0.0,0.0,0.0,0.02
Portal Knights,2017.0,Role-Playing,505 Games,0.02,0.0,0.0,0.0,0.02
Shaq-Fu: A Legend Reborn,2018.0,Action,Wired Productions,0.02,0.0,0.0,0.0,0.02
Psycho-Pass,2014.0,Visual Novel,5pb,0.0,0.0,0.02,0.0,0.02
Tropico 5,2016.0,Simulation,Kalypso Media,0.02,0.0,0.0,0.0,0.02
Back to the Future: The Game,2015.0,Adventure,Telltale Games,0.0,0.02,0.0,0.0,0.02
Saints Row: Gat out of Hell,2015.0,Action,Deep Silver,0.0,0.02,0.0,0.0,0.02
Mega Man Legacy Collection 2,2017.0,Action,Capcom,0.02,0.0,0.0,0.0,0.02
Dungeons 3,2017.0,Strategy,Kalypso Media,0.02,0.0,0.0,0.0,0.02
Blackguards 2,2017.0,Strategy,Kalypso Media,0.02,0.0,0.0,0.0,0.02
Rogue Trooper: Redux,2017.0,Shooter,Rebellion,0.02,0.0,0.0,0.0,0.02
Vikings: Wolves of Midgard,2017.0,Action,Kalypso Media,0.01,0.0,0.0,0.0,0.02
The Inner World: The Last Wind Monk,2017.0,Puzzle,Kalypso Media,0.01,0.0,0.0,0.0,0.02
Assetto Corsa,2016.0,Racing,505 Games,0.0,0.01,0.0,0.0,0.02
Le Tour de France 2017,2017.0,Simulation,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02
Lock's Quest,2017.0,Strategy,THQ Nordic,0.01,0.0,0.0,0.0,0.02
WRC 5: FIA World Rally Championship,2015.0,Racing,Bigben Interactive,0.0,0.01,0.0,0.0,0.02
FlatOut 4: Total Insanity,2017.0,Racing,Bigben Interactive,0.01,0.0,0.0,0.0,0.01
Shadow Tactics: Blades of the Shogun,2017.0,Strategy,Kalypso Media,0.01,0.0,0.0,0.0,0.01
The Town of Light,2017.0,Adventure,THQ Nordic,0.01,0.0,0.0,0.0,0.01
Goat Simulator,2016.0,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01
Rugby League Live 3,2015.0,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01
Assassin's Creed Chronicles,2016.0,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
Sbastien Loeb Rally Evo,2016.0,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01
Rugby Challenge 3,2016.0,Sports,Alternative Software,0.0,0.01,0.0,0.0,0.01
Rabbids Invasion: The Interactive TV Show,2014.0,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
ZombiU,2016.0,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
This War of Mine,2016.0,Action,11 bit studios,0.0,0.01,0.0,0.0,0.01
Battle Worlds: Kronos,2016.0,Strategy,Nordic Games,0.01,0.0,0.0,0.0,0.01
ScreamRide,2015.0,Simulation,Microsoft Studios,0.0,0.01,0.0,0.0,0.01
Torment: Tides of Numenera,2017.0,Role-Playing,Techland,0.01,0.0,0.0,0.0,0.01
Ziggurat,2016.0,Shooter,Soedesco,0.0,0.01,0.0,0.0,0.01
ATV Renegades,2017.0,Racing,Nighthawk Interactive,0.0,0.0,0.0,0.0,0.01
This Is The Police,2017.0,Simulation,THQ Nordic,0.0,0.0,0.0,0.0,0.01
Valhalla Hills,2017.0,Strategy,Kalypso Media,0.0,0.0,0.0,0.0,0.0
Handball 16,2015.0,Sports,Bigben Interactive,0.0,0.0,0.0,0.0,0.0
Shovel Knight,2015.0,Platform,Yacht Club Games,0.0,0.0,0.0,0.0,0.0
Blood Bowl 2,2015.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Platform,Activision,0.0,0.0,0.0,0.0,0.0
Farming 2017 - The Simulation,2016.0,Simulation,UIG Entertainment,0.0,0.0,0.0,0.0,0.0
Kung Fu Panda: Showdown of Legendary Legends,2015.0,Action,Little Orbit,0.0,0.0,0.0,0.0,0.0
Strider (2014),2014.0,Platform,Capcom,0.0,0.0,0.0,0.0,0.0
The Amazing Spider-Man 2,2014.0,Misc,Activision,0.0,0.0,0.0,0.0,0.0
Mega Man Legacy Collection,2016.0,Platform,Capcom,0.0,0.0,0.0,0.0,0.0
A Boy and His Blob,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Agatha Christie: The ABC Murders,2016.0,Adventure,Microids,0.0,0.0,0.0,0.0,0.0
Ancients of Ooga - The Forgotten Chapters,2016.0,Platform,Koch Media,0.0,0.0,0.0,0.0,0.0
Another World,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Bladestorm: The Hundred Years' War,2015.0,Action,BioWare,0.0,0.0,0.0,0.0,0.0
Brothers in Arms: Furious 4,2019.0,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0
Buzz Buzz Bang,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Woolfe: The Red Hood Diaries,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
SlashDash,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Devil May Cry 4,2015.0,Action,Capcom,0.0,0.0,0.0,0.0,0.0
#IDARB,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Frog Toss,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Gran Turismo 5 Prologue Spec III,2014.0,Misc,Wizards of the Coast,0.0,0.0,0.0,0.0,0.0
Industry Giant II,2017.0,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0
Killer Instinct,2020.0,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
King's Quest I: Quest for the Crown (VGA Version),2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
LIMBO,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Mount & Blade: Warband,2016.0,Role-Playing,Koch Media,0.0,0.0,0.0,0.0,0.0
Neverwinter,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Pier Solar and the Great Architects,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Spectra 8bit Racing,2016.0,Racing,Xbox One,0.0,0.0,0.0,0.0,0.0
Nero,2016.0,Puzzle,Xbox One,0.0,0.0,0.0,0.0,0.0
Pinball FX 2,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Gran Turismo HD Concept,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Dear Esther,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Lightning Returns: Final Fantasy XIII,2013.0,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0
Oddworld: Abe's Oddysee New N' Tasty!,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Lifeless Planet,2016.0,Puzzle,Xbox One,0.0,0.0,0.0,0.0,0.0
Slender: The Arrival,2015.0,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0
Lovers in a Dangerous Spacetime,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Human Element,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
Whore of the Orient,2020.0,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
Max: the Curse of Brotherhood,2016.0,Action-Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Axiom Verge,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Guacamelee!,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Carmageddon: Reincarnation,2015.0,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0
The Banner Saga,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Cobalt,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Plague Inc.,2016.0,Strategy,Xbox One,0.0,0.0,0.0,0.0,0.0
BADLAND,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Halo: Spartan Assault,2016.0,Shooter,Xbox One,0.0,0.0,0.0,0.0,0.0
Halo 6,2020.0,Shooter,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
D4,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Crimson Dragon,2016.0,Shooter,Xbox One,0.0,0.0,0.0,0.0,0.0
Below,2016.0,Action-Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Peggle 2,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
LocoCycle,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Powerstar Golf,2016.0,Sports,Xbox One,0.0,0.0,0.0,0.0,0.0
Kingdom Hearts III,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0
Black Tusk Studios Game,2020.0,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
KickBeat,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Reus,2016.0,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0
Rogue Legacy,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Defense Grid 2,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Hellraid,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
There Came an Echo,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Strike Suit Zero,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Fable Legends,2019.0,Role-Playing,Microsoft Studios,0.0,0.0,0.0,0.0,0.0
WonderFlick,2014.0,Misc,Level 5,0.0,0.0,0.0,0.0,0.0
Monochroma,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
FORCED,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Sea Animal Games for Toddlers and Kids with Jigsaw Puzzles,2013.0,Misc,Ubisoft,0.0,0.0,0.0,0.0,0.0
Unmechanical,2016.0,Puzzle,Xbox One,0.0,0.0,0.0,0.0,0.0
Divekick,2016.0,Fighting,Xbox One,0.0,0.0,0.0,0.0,0.0
Child of Light,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Valiant Hearts: The Great War,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Hyper Light Drifter,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Legend of Raven,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Xbox Fitness,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Raven's Cry,2014.0,Role-Playing,TopWare Interactive,0.0,0.0,0.0,0.0,0.0
Shantae: Half-Genie Hero,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Tales from the Borderlands,2014.0,Adventure,Telltale Games,0.0,0.0,0.0,0.0,0.0
Get Even,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
Threes!,2016.0,Puzzle,Xbox One,0.0,0.0,0.0,0.0,0.0
Worms Battlegrounds,2016.0,Strategy,Xbox One,0.0,0.0,0.0,0.0,0.0
Stranger of Sword City,2016.0,Role-Playing,Experience Inc.,0.0,0.0,0.0,0.0,0.0
The Book of Unwritten Tales 2,2015.0,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0
Puyo Puyo Tetris,2014.0,Puzzle,Sega,0.0,0.0,0.0,0.0,0.0
Razor Global Domination Pro TourÊ,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Gone HomeÊ,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Costume Quest 2,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Aztez,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Not a Hero,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Cult County,2015.0,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0
Adr1ft,2016.0,Adventure,505 Games,0.0,0.0,0.0,0.0,0.0
R.B.I. Baseball 14,2014.0,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0
Blue EstateÊ,2014.0,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
Source,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Chariot,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Super Time Force,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Pure PoolÊ,2016.0,Sports,Xbox One,0.0,0.0,0.0,0.0,0.0
Never Alone,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Space Hulk: Deathwing,2015.0,Shooter,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
Red Goddess: Inner Mind,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Mystereet F: The Detectives' Curtain Call,2014.0,Misc,5pb,0.0,0.0,0.0,0.0,0.0
Chaos;Child,2014.0,Visual Novel,5pb,0.0,0.0,0.0,0.0,0.0
Fenix Rage,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
FRU,2016.0,Puzzle,Xbox One,0.0,0.0,0.0,0.0,0.0
Shiness: The Lightning Kingdom,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Ori and the Blind Forest,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Phantom Dust (2015),2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Scalebound,2014.0,Action,PlatinumGames,0.0,0.0,0.0,0.0,0.0
Crackdown 3,2019.0,Action,Microsoft Studios,0.0,0.0,0.0,0.0,0.0
EA Sports PGA Tour,2015.0,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0
Lara Croft and the Temple of Osiris,2014.0,Action,Square Enix,0.0,0.0,0.0,0.0,0.0
Wulverblade,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Gunscape,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Cuphead,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Knight Squad,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Dead Island 2,2017.0,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0
Inside,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Tetris UltimateÊ,2014.0,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0
Afro Samurai 2,2015.0,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0
The Legend of Korra (2014),2014.0,Action,Activision,0.0,0.0,0.0,0.0,0.0
Azito x Tatsunoko Legends,2016.0,Simulation,Xbox One,0.0,0.0,0.0,0.0,0.0
Shooting Love Trilogy,2015.0,Shooter,Triangle Service,0.0,0.0,0.0,0.0,0.0
AirMech Arena,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
The Walking Dead: Season Three,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
King of Wushu,2015.0,Action,Snail Game,0.0,0.0,0.0,0.0,0.0
MercuryÊ,2015.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0
Pneuma: Breath of Life,2016.0,Puzzle,Xbox One,0.0,0.0,0.0,0.0,0.0
The Escapists,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Superhot,2016.0,Shooter,Xbox One,0.0,0.0,0.0,0.0,0.0
Spectra,2016.0,Racing,Xbox One,0.0,0.0,0.0,0.0,0.0
Space Engineers,2016.0,Simulation,Xbox One,0.0,0.0,0.0,0.0,0.0
No Time to Explain,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Funk of Titans,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Fruit Ninja Kinect 2,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Blues and Bullets,2016.0,Action-Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Game 4,2016.0,Strategy,Xbox One,0.0,0.0,0.0,0.0,0.0
Raiden V,2016.0,Action,Moss,0.0,0.0,0.0,0.0,0.0
Assassin's Creed Chronicles: China,2015.0,Action-Adventure,Ubisoft,0.0,0.0,0.0,0.0,0.0
Pathologic,2015.0,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0
Geometry Wars 3: Dimensions,2016.0,Shooter,Xbox One,0.0,0.0,0.0,0.0,0.0
Assassin's Creed: Victory,2015.0,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0
The Banner Saga 2,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0
Gigantic,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Magic Duels: Origin,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0
Shiftlings,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Oceanhorn: Monster of Uncharted Seas,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Beyond Eyes,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Inside My Radio,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Kaiju Panic,2016.0,Strategy,Xbox One,0.0,0.0,0.0,0.0,0.0
Tembo the Badass Elephant,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Assassin's Creed Chronicles: Russia,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Assassin's Creed Chronicles: India,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Overlord: Fellowship of Evil,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
